iter	RMSE
364	1848.483784
365	1848.132687
366	1847.288219
367	1846.531969
368	1846.154607
369	1844.522224
370	1843.21279
371	1841.822852
372	1841.643223
373	1835.362283
374	1832.258175
375	1828.496626
376	1825.012037
377	1824.261435
378	1822.798327
379	1821.101743
380	1820.739259
381	1817.801972
382	1815.19364
383	1813.807047
384	1807.994604
385	1806.941172
386	1803.130113
387	1802.119283
388	1799.555262
389	1796.157322
390	1793.392002
391	1790.9886
392	1789.169709
393	1785.809609
394	1784.03399
395	1780.938567
396	1779.875688
397	1778.329551
398	1777.817507
399	1771.646773
400	1766.25183
401	1762.801362
402	1762.234989
403	1759.618709
404	1757.563216
405	1755.132827
406	1753.95885
407	1750.702277
408	1750.415507
409	1749.568238
410	1747.585892
411	1746.350591
412	1745.430955
413	1743.56033
414	1741.699601
415	1738.904909
416	1735.540271
417	1734.64345
418	1733.503822
419	1728.428734
420	1726.569253
421	1721.671303
422	1719.383372
423	1714.260931
424	1712.451319
425	1709.958307
426	1708.151055
427	1705.537738
428	1705.018068
429	1703.492621
430	1702.920122
431	1697.838027
432	1696.566131
433	1693.050518
434	1689.280753
435	1688.867091
436	1687.738278
437	1687.542383
438	1685.821286
439	1684.379922
440	1680.22951
441	1677.158293
442	1674.472543
443	1673.827767
444	1671.879059
445	1670.781161
446	1669.402408
447	1667.05062
448	1662.322109
449	1660.301906
450	1657.312119
451	1656.014125
452	1655.046927
453	1653.584119
454	1652.983199
455	1652.637722
456	1650.355218
457	1650.254841
458	1649.559815
459	1647.139015
460	1645.708054
461	1645.438388
462	1643.273816
463	1642.374067
464	1639.503842
465	1638.280696
466	1635.224914
467	1634.883043
468	1632.669086
469	1630.887803
470	1628.212566
471	1625.346776
472	1621.500476
473	1620.785145
474	1618.574058
475	1618.302573
476	1616.89274
477	1615.582785
478	1612.885856
479	1611.601693
480	1610.722
481	1609.53039
482	1608.281244
483	1608.024965
484	1607.374878
485	1606.294289
486	1603.870037
487	1601.110495
488	1599.68843
489	1597.864135
490	1597.506156
491	1594.676038
492	1592.99517
493	1589.646078
494	1588.598746
495	1587.165791
496	1586.683497
497	1586.475709
498	1582.313631
499	1580.116328
500	1579.962251
501	1575.814996
502	1575.120135
503	1574.240485
504	1573.076807
505	1571.941539
506	1570.370213
507	1569.944853
508	1568.262733
509	1566.084958
510	1564.753133
511	1563.470704
512	1561.30236
513	1557.579789
514	1557.407674
515	1556.139954
516	1554.649104
517	1553.42377
518	1551.356433
519	1550.922954
520	1548.389457
521	1547.105397
522	1545.655215
523	1541.827586
524	1540.067628
525	1538.622798
526	1535.964887
527	1535.46469
528	1533.084927
529	1531.72298
530	1530.373255
531	1528.116078
532	1525.990865
533	1523.644674
534	1521.185972
535	1519.005354
536	1518.474892
537	1517.02304
538	1516.187546
539	1515.969357
540	1513.393799
541	1511.509257
542	1508.825242
543	1506.445071
544	1504.567774
545	1503.970748
546	1501.613057
547	1500.324324
548	1498.917654
549	1497.741544
550	1496.944948
551	1494.47009
552	1493.158727
553	1492.227435
554	1492.102358
555	1489.730729
556	1486.969131
557	1484.743532
558	1483.470549
559	1481.264474
560	1479.006581
561	1476.10849
562	1475.078564
563	1473.670479
564	1471.828051
565	1470.962158
566	1468.482704
567	1467.2561
568	1464.262085
569	1464.110951
570	1463.36103
571	1459.95838
572	1457.23683
573	1455.137442
574	1452.897026
575	1452.103763
576	1451.905709
577	1449.775916
578	1446.104807
579	1445.334265
580	1442.090616
581	1440.523468
582	1440.249961
583	1439.228346
584	1437.981465
585	1436.193052
586	1435.259759
587	1433.252167
588	1431.480922
589	1430.508765
590	1427.765899
591	1425.866691
592	1423.404986
593	1421.296033
594	1420.238507
595	1418.916493
596	1415.410601
597	1414.539895
598	1414.443496
599	1413.617176
600	1411.007306
601	1409.729647
602	1409.624047
603	1407.214149
604	1406.429663
605	1405.591144
606	1403.665172
607	1402.53653
608	1400.922926
609	1397.380544
610	1394.066874
611	1393.344769
612	1391.913603
613	1389.736365
614	1388.289487
615	1387.002158
616	1386.841012
617	1386.007731
618	1384.166842
619	1383.040593
620	1381.549377
621	1380.48304
622	1379.711356
623	1377.367115
624	1374.900614
625	1373.888913
626	1372.791844
627	1371.947595
628	1370.401194
629	1369.756493
630	1368.039662
631	1365.547062
632	1363.4329
633	1363.374896
634	1362.658771
635	1361.766101
636	1360.54187
637	1358.862789
638	1356.568118
639	1356.101199
640	1353.716606
641	1352.020937
642	1350.273174
643	1349.593669
644	1348.427225
645	1346.786541
646	1346.149082
647	1345.371249
648	1344.296971
649	1342.969007
650	1341.20983
651	1340.63604
652	1338.980597
653	1337.177671
654	1336.792258
655	1334.509328
656	1333.908647
657	1333.895127
658	1331.043443
659	1329.938785
660	1328.142857
661	1326.206976
662	1324.566411
663	1322.647916
664	1321.566497
665	1320.049651
666	1318.44289
667	1316.73073
668	1314.566047
669	1312.810418
670	1311.979195
671	1309.7274
672	1309.164496
673	1307.821063
674	1305.641067
675	1304.338995
676	1302.8918
677	1301.284662
678	1298.992294
679	1297.043528
680	1294.80814
681	1293.975242
682	1291.982772
683	1289.785439
684	1287.211746
685	1286.727342
686	1285.648682
687	1283.708522
688	1281.767234
689	1279.92725
690	1278.096295
691	1277.651915
692	1277.140823
693	1276.264399
694	1273.296081
695	1271.611617
696	1269.495439
697	1268.549704
698	1267.483035
699	1265.191112
700	1263.71029
701	1262.223776
702	1261.408359
703	1259.056473
704	1257.89133
705	1256.764143
706	1254.740887
707	1253.877542
708	1252.828053
709	1252.492621
710	1251.987015
711	1250.414835
712	1249.620815
713	1248.63479
714	1247.563344
715	1245.619966
716	1244.388978
717	1243.213663
718	1242.315398
719	1241.325545
720	1239.919862
721	1238.394517
722	1237.858116
723	1237.646599
724	1236.401802
725	1234.328467
726	1233.818081
727	1233.099383
728	1231.473357
729	1229.501851
730	1227.799658
731	1226.769085
732	1226.265379
733	1224.640492
734	1223.411224
735	1222.516767
736	1221.337059
737	1219.67018
738	1218.617193
739	1217.543419
740	1216.349384
741	1214.419777
742	1212.802549
743	1211.509718
744	1209.32102
745	1208.512044
746	1207.552857
747	1206.339576
748	1205.397526
749	1204.209553
750	1202.553091
751	1201.135047
752	1199.908612
753	1197.861597
754	1196.069252
755	1194.792415
756	1193.304976
757	1191.750861
758	1191.140182
759	1190.052778
760	1189.148472
761	1186.934061
762	1186.364356
763	1185.734431
764	1184.378213
765	1183.424677
766	1181.886023
767	1180.42495
768	1178.149707
769	1177.778294
770	1175.764736
771	1175.395727
772	1173.42465
773	1171.456957
774	1169.751812
775	1168.141929
776	1166.582801
777	1164.851846
778	1164.568104
779	1163.700489
780	1162.705196
781	1162.158754
782	1160.948186
783	1160.49247
784	1158.025815
785	1155.791458
786	1153.944989
787	1152.973161
788	1150.570964
789	1148.788319
790	1146.920406
791	1145.777653
792	1144.449514
793	1143.47089
794	1142.780836
795	1141.692184
796	1139.385662
797	1138.455978
798	1137.517893
799	1136.399949
800	1134.846859
801	1133.766225
802	1132.013124
803	1131.113707
804	1130.422609
805	1129.580621
806	1127.909226
807	1127.347962
808	1126.528323
809	1125.003277
810	1122.496478
811	1121.29224
812	1120.957613
813	1119.952518
814	1118.674385
815	1117.298257
816	1115.250503
817	1114.359092
818	1111.968939
819	1110.418449
820	1108.959282
821	1107.136506
822	1105.968947
823	1104.363265
824	1104.033085
825	1102.101142
826	1101.209559
827	1100.732639
828	1099.469537
829	1097.885453
830	1096.283834
831	1094.9158
832	1094.608998
833	1093.242538
834	1091.509155
835	1088.849711
836	1087.772466
837	1087.469999
838	1087.137438
839	1086.885321
840	1085.900118
841	1084.33537
842	1082.846617
843	1081.784961
844	1080.322272
845	1078.573228
846	1078.071053
847	1077.793172
848	1076.691813
849	1075.59512
850	1074.705772
851	1072.760199
852	1071.660605
853	1070.043822
854	1067.878506
855	1066.712493
856	1065.4405
857	1064.310943
858	1063.508085
859	1061.814474
860	1060.911299
861	1059.634454
862	1057.798749
863	1057.4545
864	1056.594447
865	1055.878548
866	1053.811732
867	1053.549972
868	1051.825537
869	1050.577704
870	1049.663352
871	1048.276861
872	1046.15942
873	1044.62201
874	1043.198338
875	1042.498288
876	1040.924201
877	1039.415694
878	1038.224737
879	1037.129977
880	1036.623597
881	1036.042812
882	1034.74879
883	1033.706746
884	1032.67335
885	1032.354173
886	1030.753954
887	1029.526855
888	1029.195333
889	1027.909742
890	1027.550228
891	1026.441492
892	1025.948246
893	1024.154409
894	1022.84734
895	1021.274228
896	1020.242794
897	1019.633302
898	1018.222641
899	1016.276636
900	1015.21632
901	1014.870413
902	1013.666387
903	1012.472334
904	1011.026882
905	1009.971122
906	1008.373198
907	1007.316494
908	1006.304412
909	1005.335159
910	1003.365271
911	1002.353295
912	1001.0803
913	999.9172694
914	999.1033689
915	998.7729763
916	997.1951006
917	995.9164858
918	995.0793081
919	994.4424371
920	993.0696511
921	992.564046
922	991.9517994
923	990.4840485
924	988.8783636
925	988.3407133
926	987.1773968
927	986.3901747
928	985.4348673
929	984.5325949
930	982.8393132
931	981.7005781
932	981.4172167
933	980.5208959
934	979.5167332
935	978.3588375
936	977.0439093
937	975.7001956
938	974.9624669
939	974.0843684
940	972.6481887
941	971.3858722
942	970.5334048
943	969.6120676
944	968.4040864
945	967.2981449
946	966.8489208
947	966.014993
948	965.0922156
949	964.0541854
950	962.8164002
951	961.6724755
952	960.9127475
953	959.4699547
954	958.9805754
955	957.6159177
956	956.9190352
957	956.092725
958	955.4329682
959	953.978207
960	953.1103978
961	952.1717578
962	950.9951184
963	950.1831205
964	949.3863042
965	948.5024027
966	947.4169019
967	946.7241132
968	945.9492632
969	945.0601613
970	944.102374
971	943.7560785
972	943.4452089
973	942.6576265
974	941.2931282
975	940.971167
976	939.3595894
977	938.6959533
978	937.1552772
979	935.9378833
980	935.5486589
981	934.9917834
982	933.3525138
983	932.0505147
984	931.0708975
985	929.5606049
986	928.6017657
987	927.4652155
988	926.7846726
989	925.3532254
990	924.1438352
991	923.4343701
992	922.1846421
993	921.6167574
994	920.9790768
995	919.9980817
996	918.852017
997	918.4333623
998	916.900952
999	916.8086668
